2024-06-17 19:48:49 status unpacked libaudit-common:all 1:2.8.4-3
2024-06-17 19:48:49 install libaudit1:amd64 <none> 1:2.8.4-3
2024-06-17 19:48:49 status half-installed libaudit1:amd64 1:2.8.4-3
2024-06-17 19:48:49 status unpacked libaudit1:amd64 1:2.8.4-3
2024-06-17 19:48:49 install libblkid1:amd64 <none> 2.33.1-0.1
2024-06-17 19:48:49 status half-installed libblkid1:amd64 2.33.1-0.1
2024-06-17 19:48:49 status unpacked libblkid1:amd64 2.33.1-0.1
2024-06-17 19:48:49 install libbz2-1.0:amd64 <none> 1.0.6-9.2~deb10u1
2024-06-17 19:48:49 status half-installed libbz2-1.0:amd64 1.0.6-9.2~deb10u1
2024-06-17 19:48:49 status unpacked libbz2-1.0:amd64 1.0.6-9.2~deb10u1
2024-06-17 19:48:49 install libc-bin:amd64 <none> 2.28-10+deb10u1
2024-06-17 19:48:49 status half-installed libc-bin:amd64 2.28-10+deb10u1
2024-06-17 19:48:49 status unpacked libc-bin:amd64 2.28-10+deb10u1
2024-06-17 19:48:49 upgrade libc6:amd64 2.28-10+deb10u1 2.28-10+deb10u1
2024-06-17 19:48:49 status half-configured libc6:amd64 2.28-10+deb10u1
2024-06-17 19:48:49 status unpacked libc6:amd64 2.28-10+deb10u1
2024-06-17 19:48:49 status half-installed libc6:amd64 2.28-10+deb10u1
2024-06-17 19:48:50 status unpacked libc6:amd64 2.28-10+deb10u1
2024-06-17 19:48:50 install libcap-ng0:amd64 <none> 0.7.9-2
2024-06-17 19:48:50 status half-installed libcap-ng0:amd64 0.7.9-2
2024-06-17 19:48:50 status unpacked libcap-ng0:amd64 0.7.9-2
2024-06-17 19:48:50 install libcom-err2:amd64 <none> 1.44.5-1+deb10u3
2024-06-17 19:48:50 status half-installed libcom-err2:amd64 1.44.5-1+deb10u3
2024-06-17 19:48:50 status unpacked libcom-err2:amd64 1.44.5-1+deb10u3
2024-06-17 19:48:50 install libdb5.3:amd64 <none> 5.3.28+dfsg1-0.5
2024-06-17 19:48:50 status half-installed libdb5.3:amd64 5.3.28+dfsg1-0.5
2024-06-17 19:48:50 status unpacked libdb5.3:amd64 5.3.28+dfsg1-0.5
2024-06-17 19:48:50 install libdebconfclient0:amd64 <none> 0.249
2024-06-17 19:48:50 status half-installed libdebconfclient0:amd64 0.249
2024-06-17 19:48:50 status unpacked libdebconfclient0:amd64 0.249
2024-06-17 19:48:50 install libext2fs2:amd64 <none> 1.44.5-1+deb10u3
2024-06-17 19:48:50 status half-installed libext2fs2:amd64 1.44.5-1+deb10u3
2024-06-17 19:48:50 status unpacked libext2fs2:amd64 1.44.5-1+deb10u3
2024-06-17 19:48:50 install libfdisk1:amd64 <none> 2.33.1-0.1
2024-06-17 19:48:50 status half-installed libfdisk1:amd64 2.33.1-0.1
2024-06-17 19:48:50 status unpacked libfdisk1:amd64 2.33.1-0.1
2024-06-17 19:48:50 install libffi6:amd64 <none> 3.2.1-9
2024-06-17 19:48:50 status half-installed libffi6:amd64 3.2.1-9
2024-06-17 19:48:50 status unpacked libffi6:amd64 3.2.1-9
2024-06-17 19:48:50 install libgcc1:amd64 <none> 1:8.3.0-6
2024-06-17 19:48:50 status half-installed libgcc1:amd64 1:8.3.0-6
2024-06-17 19:48:50 status unpacked libgcc1:amd64 1:8.3.0-6
2024-06-17 19:48:50 install libgcrypt20:amd64 <none> 1.8.4-5+deb10u1
2024-06-17 19:48:50 status half-installed libgcrypt20:amd64 1.8.4-5+deb10u1
2024-06-17 19:48:50 status unpacked libgcrypt20:amd64 1.8.4-5+deb10u1
2024-06-17 19:48:50 install libgmp10:amd64 <none> 2:6.1.2+dfsg-4+deb10u1
2024-06-17 19:48:50 status half-installed libgmp10:amd64 2:6.1.2+dfsg-4+deb10u1
2024-06-17 19:48:50 status unpacked libgmp10:amd64 2:6.1.2+dfsg-4+deb10u1
2024-06-17 19:48:50 install libgnutls30:amd64 <none> 3.6.7-4+deb10u8
2024-06-17 19:48:50 status half-installed libgnutls30:amd64 3.6.7-4+deb10u8
2024-06-17 19:48:51 status unpacked libgnutls30:amd64 3.6.7-4+deb10u8
2024-06-17 19:48:51 install libgpg-error0:amd64 <none> 1.35-1
2024-06-17 19:48:51 status half-installed libgpg-error0:amd64 1.35-1
2024-06-17 19:48:51 status unpacked libgpg-error0:amd64 1.35-1
2024-06-17 19:48:51 install libhogweed4:amd64 <none> 3.4.1-1+deb10u1
2024-06-17 19:48:51 status half-installed libhogweed4:amd64 3.4.1-1+deb10u1
2024-06-17 19:48:51 status unpacked libhogweed4:amd64 3.4.1-1+deb10u1
2024-06-17 19:48:51 install libidn2-0:amd64 <none> 2.0.5-1+deb10u1
2024-06-17 19:48:51 status half-installed libidn2-0:amd64 2.0.5-1+deb10u1
2024-06-17 19:48:51 status unpacked libidn2-0:amd64 2.0.5-1+deb10u1
2024-06-17 19:48:51 install liblz4-1:amd64 <none> 1.8.3-1+deb10u1
2024-06-17 19:48:51 status half-installed liblz4-1:amd64 1.8.3-1+deb10u1
2024-06-17 19:48:51 status unpacked liblz4-1:amd64 1.8.3-1+deb10u1
2024-06-17 19:48:51 install liblzma5:amd64 <none> 5.2.4-1+deb10u1
2024-06-17 19:48:51 status half-installed liblzma5:amd64 5.2.4-1+deb10u1
2024-06-17 19:48:51 status unpacked liblzma5:amd64 5.2.4-1+deb10u1
2024-06-17 19:48:51 install libmount1:amd64 <none> 2.33.1-0.1
2024-06-17 19:48:51 status half-installed libmount1:amd64 2.33.1-0.1
2024-06-17 19:48:51 status unpacked libmount1:amd64 2.33.1-0.1
2024-06-17 19:48:51 install libncursesw6:amd64 <none> 6.1+20181013-2+deb10u2
2024-06-17 19:48:51 status half-installed libncursesw6:amd64 6.1+20181013-2+deb10u2
2024-06-17 19:48:51 status unpacked libncursesw6:amd64 6.1+20181013-2+deb10u2
2024-06-17 19:48:51 install libnettle6:amd64 <none> 3.4.1-1+deb10u1
2024-06-17 19:48:51 status half-installed libnettle6:amd64 3.4.1-1+deb10u1
2024-06-17 19:48:51 status unpacked libnettle6:amd64 3.4.1-1+deb10u1
2024-06-17 19:48:51 install libp11-kit0:amd64 <none> 0.23.15-2+deb10u1
2024-06-17 19:48:51 status half-installed libp11-kit0:amd64 0.23.15-2+deb10u1
2024-06-17 19:48:51 status unpacked libp11-kit0:amd64 0.23.15-2+deb10u1
2024-06-17 19:48:51 install libpam-modules:amd64 <none> 1.3.1-5
2024-06-17 19:48:51 status half-installed libpam-modules:amd64 1.3.1-5
2024-06-17 19:48:51 status unpacked libpam-modules:amd64 1.3.1-5
2024-06-17 19:48:51 install libpam-modules-bin:amd64 <none> 1.3.1-5
2024-06-17 19:48:51 status half-installed libpam-modules-bin:amd64 1.3.1-5
2024-06-17 19:48:51 status unpacked libpam-modules-bin:amd64 1.3.1-5
2024-06-17 19:48:51 install libpam-runtime:all <none> 1.3.1-5
2024-06-17 19:48:51 status half-installed libpam-runtime:all 1.3.1-5
2024-06-17 19:48:51 status unpacked libpam-runtime:all 1.3.1-5
2024-06-17 19:48:51 install libpam0g:amd64 <none> 1.3.1-5
2024-06-17 19:48:51 status half-installed libpam0g:amd64 1.3.1-5
2024-06-17 19:48:51 status unpacked libpam0g:amd64 1.3.1-5
2024-06-17 19:48:51 install libpcre3:amd64 <none> 2:8.39-12
2024-06-17 19:48:51 status half-installed libpcre3:amd64 2:8.39-12
2024-06-17 19:48:51 status unpacked libpcre3:amd64 2:8.39-12
2024-06-17 19:48:51 install libseccomp2:amd64 <none> 2.3.3-4
2024-06-17 19:48:51 status half-installed libseccomp2:amd64 2.3.3-4
2024-06-17 19:48:52 status unpacked libseccomp2:amd64 2.3.3-4
2024-06-17 19:48:52 install libselinux1:amd64 <none> 2.8-1+b1
2024-06-17 19:48:52 status half-installed libselinux1:amd64 2.8-1+b1
2024-06-17 19:48:52 status unpacked libselinux1:amd64 2.8-1+b1
2024-06-17 19:48:52 install libsemanage-common:all <none> 2.8-2
2024-06-17 19:48:52 status half-installed libsemanage-common:all 2.8-2
2024-06-17 19:48:52 status unpacked libsemanage-common:all 2.8-2
2024-06-17 19:48:52 install libsemanage1:amd64 <none> 2.8-2
2024-06-17 19:48:52 status half-installed libsemanage1:amd64 2.8-2
2024-06-17 19:48:52 status unpacked libsemanage1:amd64 2.8-2
2024-06-17 19:48:52 install libsepol1:amd64 <none> 2.8-1
2024-06-17 19:48:52 status half-installed libsepol1:amd64 2.8-1
2024-06-17 19:48:52 status unpacked libsepol1:amd64 2.8-1
2024-06-17 19:48:52 install libsmartcols1:amd64 <none> 2.33.1-0.1
2024-06-17 19:48:52 status half-installed libsmartcols1:amd64 2.33.1-0.1
2024-06-17 19:48:52 status unpacked libsmartcols1:amd64 2.33.1-0.1
2024-06-17 19:48:52 install libss2:amd64 <none> 1.44.5-1+deb10u3
2024-06-17 19:48:52 status half-installed libss2:amd64 1.44.5-1+deb10u3
2024-06-17 19:48:52 status unpacked libss2:amd64 1.44.5-1+deb10u3
